2016/2/25 3:24:06
tick:60   X:0Y:30
tick:120   X:125.452182350355Y:149.618851350355
tick:180   X:-97.6651811589248Y:242.695654940062
tick:240   X:43.1019338025174Y:57.1649728285415
tick:300   X:-1.06455899127084Y:262.31875376171
tick:360   X:-39.7203420105013Y:66.7703038785053
tick:420   X:31.5950644490915Y:212.833862069814
tick:480   X:-59.0005686283375Y:71.3955123892762
tick:540   X:87.4382830546946Y:202.631814853026
tick:600   X:-72.6667876123498Y:95.4365383065638
tick:660   X:110.245799291996Y:195.026039827209
tick:720   X:-132.970471676597Y:142.929459131327
tick:780   X:117.53642742454Y:181.303923551485
tick:840   X:-117.288946693278Y:122.289120581792
tick:900   X:113.541504928728Y:188.651080182532
tick:960   X:-24.0056444652225Y:85.8046892851681
tick:1020   X:-14.4798551780434Y:79.0689389687721
